pos,abbrev_player_name,projected_games,team_importance_rating,status
START
ATL
PG1,Trae Young,77,1
PG2,Evan Turner,74,6
SG1,Kevin Huerter,78,2
SG2,Cam Reddish,72,7
SF1,De'Andre Hunter,76,3
SF2,DeAndre' Bembry,70,8
SF3,Alan Crabbe,58,9,I
SF4,Vince Carter,80,10
PF1,John Collins,71,4
PF2,Jabari Parker,52,11
PF4,Chandler Parsons,30,12
C1,Alex Len,75,5
START
BOS
PG1,Kemba Walker,77,1
PG2,Carson Edwards,72,7
SG1,Jaylen Brown,72,2
SG2,Marcus Smart,72,6
SG3,Romeo Langford,70,10
SF1,Jaylen Tatum,79,3
SF2,Grant Williams,75,9
PF1,Gordon Hayward,72,4
PF2,Semi Ojeleye,56,12
C1,Daniel Theis,66,5
C2,Enes Kanter,73,8
C3,Robert Williams III,62,11
START
BKN
PG1,Kyrie Irving,71,1
PG2,Spencer Dinwiddie,70,6
SG1,Joe Harris,75,2
SG2,Garrett Temple,71,7
SF1,Caris LeVert,64,3
SF2,Dzanan Musa,64,8
SF3,Wilson Chandler,46,10,I
PF1,Taurean Prince,72,5
PF2,Rodions Kurucs,72,9
PF3,David Nwaba,52,13
C1,Jarrett Allen,78,4
C2,DeAndre Jordan,77,6
C4,Henry Ellenson,70,11
START
CHA
PG1,Terry Rozier,79,1
PG2,Devonte' Graham,74,10
PG3,Cody Martin,74,14
SG1,Dwayn Bacon,70,2
SG2,Malik Monk,74,6
SF1,Miles Bridges,78,3
SF2,Nicolas Batum,72,7
SF3,Michael Kidd,Gilchrist,76,8
PF1,P.J. Washington,75,4
PF2,Marvin Williams,76,9
C1,Cody Zeller,61,5
C2,Willy Hernangomez,65,11
C3,Bismack Biyombo,74,12
START
CHI
PG1,Tomas Satoransky,74,1
PG2,Kris Dunn,64,6
PG5,Shaquille Harrison,67,11
SG1,Zach LaVine,65,2
SG2,Coby White,75,7
SF1,Otto Porter Jr.,75,3
SF2,Denzel Valentine,70,8
SF3,Chandler Hutchison,44,13
PF1,Lauri Markkanen,74,4
PF2,Thaddeus Young,80,9
PF3,Luke Kornet,45,10
C1,Wendell Carter Jr.,69,5
C2,Daniel Gafford,75,12
START
CLE
PG1,Colin Sexton,77,1
PG2,Darius Garland,72,9
SG1,Brandon Knight,63,2
SG2,Matthew Dellavedova,48,7
SG3,Kevin Porter Jr.,69,10
SF1,Cedi Osman,74,3
SF2,Jordan Clarkson,81,8
SF3,Dylan Windler,50,13,I
PF1,Kevin Love,66,4
PF2,Larry Nance Jr.,70,6
C1,Tristan Thompson,73,5
C2,John Henson,54,11
C4,Ante Zizic,72,12,I
START
DAL
PG1,Delon Wright,71,1
PG2,Jalen Brunson,76,8
PG4,J.J. Barea,62,12
SG1,Luka Doncic,75,2
SG2,Seth Curry,73,7
SG3,Courtney Lee,68,13
SF1,Justin Jackson,81,3
SF2,Tim Hardaway Jr.,73,9
PF1,Kristaps Porzingis,69,4
PF2,Dorian Finney,Smith,11
C1,Dwight Powell,81,5
C2,Maxi Kleber,71,6
C3,Boban Marjanovic,56,10
START
DEN,
PG1,Jamal Murray,77,1
PG2,Monte Morris,82,8
SG1,Gary Harris,68,2
SG2,Malik Beasley,74,7
SG3,Torrey Craig,74,9
SF1,Will Barton,73,4
SF2,Michael Porter Jr.,63,11
SF4,Juancho Hernangomez,70,12
PF1,Paul Millsap,72,3
